date,countries_and_territories,year,daily_confirmed_cases,daily_deaths
2020-03-20,Chad,2020,1,0
2020-03-21,Chad,2020,0,0
2020-03-22,Chad,2020,1,0
2020-03-23,Chad,2020,0,0
2020-03-24,Chad,2020,0,0
2020-03-25,Chad,2020,1,0
2020-03-26,Chad,2020,0,0
2020-03-27,Chad,2020,2,0
2020-03-28,Chad,2020,0,0
2020-03-29,Chad,2020,0,0
2020-03-30,Chad,2020,0,0
2020-03-31,Chad,2020,2,0
2020-04-01,Chad,2020,0,0
2020-04-02,Chad,2020,0,0
2020-04-03,Chad,2020,0,0
2020-04-04,Chad,2020,0,0
2020-04-05,Chad,2020,1,0
2020-04-06,Chad,2020,1,0
2020-04-07,Chad,2020,0,0
2020-04-08,Chad,2020,0,0
2020-04-09,Chad,2020,1,0
2020-04-10,Chad,2020,1,0
2020-04-11,Chad,2020,0,0
2020-04-12,Chad,2020,0,0
2020-04-13,Chad,2020,4,0
2020-04-14,Chad,2020,8,0
2020-04-15,Chad,2020,0,0
2020-04-16,Chad,2020,4,0
2020-04-17,Chad,2020,0,0
2020-04-18,Chad,2020,6,0
2020-04-19,Chad,2020,0,0
2020-04-20,Chad,2020,0,0
2020-04-21,Chad,2020,0,0
2020-04-22,Chad,2020,1,0
2020-04-23,Chad,2020,0,0
2020-04-24,Chad,2020,6,0
2020-04-25,Chad,2020,0,0
2020-04-26,Chad,2020,0,0
2020-04-27,Chad,2020,6,0
2020-04-28,Chad,2020,0,0
2020-04-30,Chad,2020,0,0
2020-05-02,Chad,2020,0,0
2020-05-04,Chad,2020,0,0
2020-05-05,Chad,2020,0,0
2020-05-07,Chad,2020,0,0
2020-05-11,Chad,2020,0,0
2020-05-12,Chad,2020,0,0
2020-05-19,Chad,2020,16,0
2020-05-25,Chad,2020,27,0
2020-05-30,Chad,2020,33,0
2020-05-31,Chad,2020,0,0
2020-06-01,Chad,2020,19,0
2020-06-03,Chad,2020,13,0
2020-06-04,Chad,2020,17,0
2020-06-05,Chad,2020,8,0
2020-06-08,Chad,2020,1,0
2020-06-12,Chad,2020,2,0
2020-06-13,Chad,2020,0,0
2020-06-14,Chad,2020,0,0
2020-06-16,Chad,2020,0,0
2020-06-18,Chad,2020,1,0
2020-06-19,Chad,2020,0,0
2020-06-20,Chad,2020,4,0
2020-06-21,Chad,2020,0,0
2020-06-22,Chad,2020,0,0
2020-06-23,Chad,2020,0,0
2020-06-24,Chad,2020,2,0
2020-06-25,Chad,2020,0,0
2020-06-26,Chad,2020,3,0
2020-06-27,Chad,2020,2,0
2020-06-28,Chad,2020,0,0
2020-06-29,Chad,2020,1,0
2020-06-30,Chad,2020,0,0
2020-07-01,Chad,2020,0,0
2020-07-02,Chad,2020,0,0
2020-07-03,Chad,2020,2,0
2020-07-04,Chad,2020,3,0
2020-07-05,Chad,2020,0,0
2020-07-06,Chad,2020,1,0
2020-07-07,Chad,2020,0,0
2020-07-08,Chad,2020,1,0
2020-07-09,Chad,2020,0,0
2020-07-10,Chad,2020,0,0
2020-07-11,Chad,2020,1,0
2020-07-12,Chad,2020,0,0
2020-07-14,Chad,2020,0,0
2020-07-15,Chad,2020,4,0
2020-07-16,Chad,2020,1,0
2020-07-17,Chad,2020,1,0
2020-07-18,Chad,2020,1,0
2020-07-19,Chad,2020,2,0
2020-07-20,Chad,2020,0,0
2020-07-21,Chad,2020,0,0
2020-07-22,Chad,2020,0,0
2020-07-23,Chad,2020,0,0
2020-07-24,Chad,2020,26,0
2020-07-25,Chad,2020,0,0
2020-07-26,Chad,2020,0,0
2020-07-27,Chad,2020,0,0
2020-07-28,Chad,2020,7,0
2020-07-29,Chad,2020,4,0
2020-07-30,Chad,2020,0,0
2020-07-31,Chad,2020,9,0
2020-08-01,Chad,2020,1,0
2020-08-02,Chad,2020,0,0
2020-08-03,Chad,2020,0,0
2020-08-04,Chad,2020,0,0
2020-08-05,Chad,2020,2,0
2020-08-06,Chad,2020,1,0
2020-08-08,Chad,2020,0,0
2020-08-09,Chad,2020,0,0
2020-08-10,Chad,2020,2,0
2020-08-11,Chad,2020,1,0
2020-08-12,Chad,2020,1,0
2020-08-13,Chad,2020,3,0
2020-08-14,Chad,2020,0,0
2020-08-15,Chad,2020,2,0
2020-08-16,Chad,2020,1,0
2020-08-17,Chad,2020,4,0
2020-08-18,Chad,2020,3,0
2020-08-19,Chad,2020,11,0
2020-08-20,Chad,2020,1,0
2020-08-21,Chad,2020,1,0
2020-08-22,Chad,2020,9,0
2020-08-23,Chad,2020,1,0
2020-08-24,Chad,2020,4,0
2020-08-25,Chad,2020,1,0
2020-08-27,Chad,2020,3,0
2020-08-28,Chad,2020,6,0
2020-08-29,Chad,2020,4,0
2020-08-30,Chad,2020,0,0
2020-08-31,Chad,2020,4,0
2020-09-01,Chad,2020,1,0
2020-09-02,Chad,2020,4,0
2020-09-03,Chad,2020,0,0
